RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JB515154,Y,11/14/2018 03:00:00 AM,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANIMAL,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",11/14/2018 03:14:00 AM,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",ANIMAL,3945,W,PETERSON AVE,1711,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,3,4,11,41.99003489,-87.72798028,POINT (-87.727980279869 41.990034890015)
JB515135,Y,11/14/2018 02:00:00 AM,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/14/2018 02:05:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5036,W,CULLOM AVE,1624,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,4,11,41.958920766,-87.754389045,POINT (-87.754389044648 41.958920765923)
JB515138,,11/14/2018 01:50:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,PARKING LOT,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/14/2018 01:58:00 AM,IMPROPER BACKING,IMPROPER BACKING,7913,S,SOUTH CHICAGO AVE,411,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,1,4,11,41.751263098,-87.585076098,POINT (-87.585076097935 41.751263097914)
JB515130,,11/14/2018 01:30:00 AM,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,ONE-WAY,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/14/2018 01:30:00 AM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,1031,N,RUSH ST,1824,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,1,4,11,41.901642657,-87.627773404,POINT (-87.627773404227 41.901642657124)
JB515114,,11/14/2018 12:51:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,5,STRAIGHT ON HILLCREST,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,Y,,"OVER $1,500",11/14/2018 12:52:00 AM,DISREGARDING TRAFFIC SIGNALS,EXCEEDING AUTHORIZED SPEED LIMIT,500,S,DAMEN AVE,1225,,,,,,,2,INCAPACITATING INJURY,2,0,2,0,0,2,0,0,4,11,41.874969685,-87.676632296,POINT (-87.67663229632 41.874969684894)
JB515128,Y,11/14/2018 12:45:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/14/2018 12:50:00 AM,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),DRIVING ON WRONG SIDE/WRONG WAY,916,W,ADDISON ST,1923,,,,,,,3,NONINCAPACITATING INJURY,1,0,0,1,0,0,0,0,4,11,41.947382763,-87.652638874,POINT (-87.65263887448 41.947382762981)
JB515103,,11/13/2018 11:50:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/14/2018 12:15:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,1299,W,HOLLYWOOD AVE,2013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,23,3,11,41.985010926,-87.66234523,POINT (-87.662345229725 41.98501092629)
JB515088,,11/13/2018 11:22:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/13/2018 11:26:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,1940,W,33RD ST,912,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,23,3,11,41.834147388,-87.674597856,POINT (-87.674597856436 41.834147387528)
JB515076,,11/13/2018 11:20:00 PM,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/13/2018 11:22:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,2300,S,LAKE SHORE DR E,132,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,23,3,11,41.851058626,-87.613152893,POINT (-87.613152893438 41.851058626095)
JB515068,,11/13/2018 10:56:00 PM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",11/13/2018 11:26:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,401,E,GARFIELD BLVD,233,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,3,11,41.794385064,-87.615887636,POINT (-87.615887636077 41.794385064489)
